"word1","word2","n"
"upcoming","meeting",14
"warning","signs",14
"20","trump",13
"2016","trump",13
"admin","official",13
"ago","trump",13
"annie","karni",13
"anti","lgbt",13
"asylum","seekers",13
"auto","pollution",13
"bad","news",13
"barr","trump",13
"bet","trump",13
"billoreilly","trump",13
"blames","entertainment",13
"brown","people",13
"buys","greenland",13
"cabin","republican",13
"called","nra",13
"cancels","trump’s",13
"chatbycc","realdonaldtrump",13
"choice","destroy",13
"cuts","amid",13
"depot's","warnings",13
"disloyalty","realdonaldtrump",13
"doesn’t","carry",13
"dorothy","trump",13
"entertainment","vendor",13
"entire","life",13
"explosive","kashmir",13
"god","everyday",13
"god","trump",13
"greenland","absurd",13
"greenland","amp",13
"greenland","blows",13
"greenland","flap",13
"greenland","greenland",13
"hate","israel",13
"hates","israel",13
"health","insurance",13
"health","issues",13
"heard","trump",13
"home","depot's",13
"house","cancels",13
"imagine","trump",13
"internal","matter",13
"invite","russia",13
"isis","resurgence",13
"jews","vote",13
"jim","acosta",13
"joanwalsh","neeratanden",13
"joke","trump",13
"justice","department",13
"lapierre","reveal",13
"laraleatrump","erictrump",13
"lawrence","maddow",13
"leader","trump",13
"macron","agree",13
"mediate","explosive",13
"minister","rejects",13
"multiple","times",13
"muslim","ban",13
"office","trump",13
"owns","trump",13
"peace","prize",13
"people","amp",13
"people","don’t",13
"people","voting",13
"person","trump",13
"pollution","rules",13
"postpones","visit",13
"president","amp",13
"presidential","election",13
"real","donald",13
"realdonaldtrump","dear",13
"realdonaldtrump","lol",13
"realdonaldtrump","realdonaldtrump",13
"realdonaldtrump","senatemajldr",13
"realdonaldtrump","trump's",13
"realdonaldtrump","wow",13
"russia","collusion",13
"rust","belt",13
"sandoval","blames",13
"sen","sandoval",13
"shaped","ecstasy",13
"situation","trump",13
"supporting","president",13
"tax","break",13
"term","trump",13
"touches","dies",13
"trump","2016",13
"trump","announces",13
"trump","attacked",13
"trump","believes",13
"trump","jr",13
"trump","means",13
"trump","period",13
"trump","promised",13
"trump","putin",13
"trump","retreats",13
"trump","shares",13
"trump","shooting",13
"trump","started",13
"trump","touches",13
"trump","vote",13
"trump's","administration",13
"trump's","china",13
"trump's","statement",13
"trump’s","america",13
"trump’s","rollback",13
"vote","republican",13
"voter","suppression",13
"war","trump",13
"weaken","america",13
"weeks","ago",13
"win","win",13
"world","leader",13
"11","days",12
"2","trump",12
"african","american",12
"america","amp",12
"american","values",12
"amp","gop",12
"assault","weapons",12
"baptists","usairforce",12
"bat","shit",12
"berniesanders","trump",12
"berniesback2020","neeratanden",12
"black","vote",12
"breaking","trump",12
"charliekirk11","realdonaldtrump",12
"chief","defender",12
"coming","trump",12
"country","realdonaldtrump",12
"dad","voted",12
"dead","democrats",12
"defender","rank",12
"dem","nominee",12
"denmark","won’t",12
"disloyaltotrump","realdonaldtrump",12
"disrupting","events",12
"doubt","trump",12
"duly","elected",12
"elevated","trump",12
"evangelists","usnavy",12
"expect","trump",12
"federal","reserve",12
"fisa","abuse",12
"flores","settlement",12
"funder","trump",12
"gains","tax",12
"greenland","comments",12
"hate","speech",12
"hired","gop",12
"home","depot",12
"huffpost","trump",12
"huge","trump",12
"hurt","trump",12
"hypocrisy","exposed",12
"illegal","immigration",12
"issue","trump",12
"jesus","christ",12
"jews","amp",12
"joncoopertweets","realdonaldtrump",12
"kamala","harris",12
"kashmir","mediation",12
"maddow","reveals",12
"matter","trump",12
"mcnaughtonart","trump",12
"million","trump",12
"mitchellreports","trump",12
"mormons","usmc",12
"myish1","prageru",12
"paranoid","deep",12
"pence","2020",12
"people","realdonaldtrump",12
"pm","mette",12
"prez","trump",12
"primary","trump",12
"protestants","usarmy",12
"proudly","disloyaltotrump",12
"public","charge",12
"racist","bigot",12
"rank","hypocrisy",12
"realdonaldtrump","greenland",12
"rejects","greenland",12
"sarah_skg_1983","realdonaldtrump",12
"sethabramson","trump",12
"shadow","campaign",12
"single","day",12
"skulldougie","olganyc1211",12
"smartnews","trump",12
"speakerpelosi","housedemocrats",12
"stop","hurting",12
"tax","scam",12
"tbd355","actorhustle",12
"tbd355","neeratanden",12
"telling","trump",12
"theandrewmeyer","realdonaldtrump",12
"threatens","greece",12
"trump","administration's",12
"trump","agreed",12
"trump","backtracks",12
"trump","buy",12
"trump","buying",12
"trump","decides",12
"trump","denmark",12
"trump","destroyed",12
"trump","doj",12
"trump","facebook",12
"trump","god",12
"trump","hating",12
"trump","insists",12
"trump","organization",12
"trump","plays",12
"trump","properties",12
"trump","racism",12
"trump","ran",12
"trump","shift",12
"trump","slammed",12
"trump","sleeps",12
"trump","support",12
"trump's","america",12
"trump's","policies",12
"trump’s","ass",12
"usairforce","evangelists",12
"usarmy","baptists",12
"usnavy","mormons",12
"vote","dem",12
"voters","trump",12
"votes","democrat",12
"world","stage",12
"world","war",12
"xi’s","choice",12
"2","weeks",11
"20","2019",11
"2020","ad",11
"2020","fearing",11
"25","19",11
"2nd","term",11
"3","trump",11
"7","25",11
"abc","trump",11
"absurd","discussion",11
"acmeyor","norlisa5561",11
"ag","barr",11
"akvawe66","pwrcane1",11
"america","h.e",11
"annableigh","instinctnaturel",11
"anniekarni","trump",11
"atrupar","trump",11
"bacchaus351","burghgirl69",11
"beat","donald",11
"biden","trump",11
"billion","dollars",11
"bombs","iraq",11
"breaking","nra",11
"bret","baier",11
"burghgirl69","acmeyor",11
"chanting","jews",11
"claims","trump",11
"cnn","andersoncooper",11
"columnist","sues",11
"commercial","parody",11
"countrysherry","rms2297",11
"daddy","trump",11
"danfoc77","poomalotta",11
"danish","territory",11
"dannaja64danny","ej_livewithlove",11
"dead","soldiers",11
"dear","denmark",11
"dectivesamspade","countrysherry",11
"dem","candidates",11
"democrat","threatens",11
"denmark’s","prime",11
"don","lemon",11
"don’t","worry",11
"donald_aper","minisue0331",11
"donaldjtrumpjr","realdonaldtrump",11
"drag","dead",11
"drwthereal","trumpsugar",11
"dumb","ass",11
"election","bid",11
"election","night",11
"emanonthx3","hwaynewaters",11
"escaping","trump's",11
"eugene","robinson",11
"fault","trump",11
"feel","bad",11
"ford","commercial",11
"gonna","vote",11
"gopkleptocrat","drwthereal",11
"greenland","rejection",11
"gt","trump",11
"gtconway3d","realdonaldtrump",11
"gun","legislation",11
"hate","amp",11
"hate","jews",11
"hateful","rhetoric",11
"hates","jews",11
"hauthflorije","houseofjames2",11
"hissy","fit",11
"house","amp",11
"housedemocrats","senatemajldr",11
"houseofjames2","thereseosulliv2",11
"hwaynewaters","annableigh",11
"i’m","gonna",11
"i’m","voting",11
"illegal","immigrant",11
"incites","violence",11
"india","news",11
"israel","bombs",11
"jacklyn74324171","tt197",11
"jail","time",11
"jewish","faith",11
"jews4trump","realdonaldtrump",11
"jim","tankersley",11
"joebiden","realdonaldtrump",11
"judicial","watch",11
"left","policies",11
"leonwhi63670221","vitocor80006380",11
"liberal","media",11
"lies","amp",11
"lies","lies",11
"lindseygrahamsc","rashidatlaib",11
"maga","gop",11
"maga","usa",11
"markkdinges","mrcharl79533255",11
"mass","murder",11
"meeting","scheduled",11
"minister","shoots",11
"minister","shri",11
"minisue0331","jevvens",11
"mitt","romney",11
"mrcharl79533255","leonwhi63670221",11
"ms","america",11
"nazi","leadership",11
"nbcnews","trump",11
"news","outlet",11
"ninaturner","queerprogress",11
"norlisa5561","youarenumbee6",11
"nra","owns",11
"nra’s","influence",11
"nuancenews","bethlynch2020",11
"nyt","trump",11
"obama","voters",11
"oppose","trump",11
"pathological","liar",11
"paul","krugman",11
"phil_mckraken","donald_aper",11
"playboy","columnist",11
"playboy","reporter",11
"pocso","act",11
"politico","trump",11
"poomalotta","samw55",11
"porn","stars",11
"pwrcane1","zaharias19",11
"queerprogress","neeratanden",11
"racist","sexist",11
"rashidatlaib","trump",11
"realdonaldtrump","donaldjtrumpjr",11
"realdonaldtrump","protestants",11
"reality","trump",11
"realmattcouch","realdonaldtrump",11
"rent","free",11
"republican","primary",11
"reveal","nra’s",11
"rich","people",11
